Data i Godzina;Parking;Wolne miejsca
2026-04-29 20:30:52;P+R Krowodrza Górka;71
2026-04-29 20:30:52;P+R Czerwone Maki;151
2026-04-29 20:30:52;P+R Mały Płaszów;135
2026-04-29 20:30:52;P+R Nowy Bieżanów;88
2026-04-29 20:30:52;P+R Kurdwanów;137
2026-04-29 21:00:48;P+R Górka Narodowa;397
2026-04-29 21:00:48;P+R Pachońskiego;81
2026-04-29 21:00:48;P+R Krowodrza Górka;80
2026-04-29 21:00:48;P+R Czerwone Maki;158
2026-04-29 21:00:48;P+R Mały Płaszów;139
2026-04-29 21:00:48;P+R Nowy Bieżanów;91
2026-04-29 21:00:48;P+R Kurdwanów;145
2026-04-29 21:30:51;P+R Górka Narodowa;405
2026-04-29 21:30:51;P+R Pachońskiego;83
2026-04-29 21:30:51;P+R Krowodrza Górka;83
2026-04-29 21:30:51;P+R Czerwone Maki;163
2026-04-29 21:30:51;P+R Mały Płaszów;142
2026-04-29 21:30:51;P+R Nowy Bieżanów;93
2026-04-29 21:30:51;P+R Kurdwanów;145
2026-04-29 22:00:45;P+R Górka Narodowa;411
2026-04-29 22:00:45;P+R Pachońskiego;84
2026-04-29 22:00:45;P+R Krowodrza Górka;85
2026-04-29 22:00:45;P+R Czerwone Maki;163
2026-04-29 22:00:45;P+R Mały Płaszów;142
2026-04-29 22:00:45;P+R Nowy Bieżanów;96
2026-04-29 22:00:45;P+R Kurdwanów;147
2026-04-29 22:30:52;P+R Górka Narodowa;416
2026-04-29 22:30:52;P+R Pachońskiego;86
2026-04-29 22:30:52;P+R Krowodrza Górka;88
2026-04-29 22:30:52;P+R Czerwone Maki;167
2026-04-29 22:30:52;P+R Mały Płaszów;144
2026-04-29 22:30:52;P+R Nowy Bieżanów;97
2026-04-29 22:30:52;P+R Kurdwanów;150
2026-04-29 23:00:51;P+R Górka Narodowa;417
2026-04-29 23:00:51;P+R Pachońskiego;86
2026-04-29 23:00:51;P+R Krowodrza Górka;89
2026-04-29 23:00:51;P+R Czerwone Maki;172
2026-04-29 23:00:51;P+R Mały Płaszów;149
2026-04-29 23:00:51;P+R Nowy Bieżanów;98
2026-04-29 23:00:51;P+R Kurdwanów;152
2026-04-29 23:30:42;P+R Górka Narodowa;421
2026-04-29 23:30:42;P+R Pachońskiego;87
2026-04-29 23:30:42;P+R Krowodrza Górka;93
2026-04-29 23:30:42;P+R Czerwone Maki;173
2026-04-29 23:30:42;P+R Mały Płaszów;152
2026-04-29 23:30:42;P+R Nowy Bieżanów;98
2026-04-29 23:30:42;P+R Kurdwanów;153
2026-04-30 00:00:50;P+R Górka Narodowa;424
2026-04-30 00:00:50;P+R Pachońskiego;88
2026-04-30 00:00:50;P+R Krowodrza Górka;93
2026-04-30 00:00:50;P+R Czerwone Maki;179
2026-04-30 00:00:50;P+R Mały Płaszów;154
2026-04-30 00:00:50;P+R Nowy Bieżanów;99
2026-04-30 00:00:50;P+R Kurdwanów;155
2026-04-30 00:31:00;P+R Górka Narodowa;434
2026-04-30 00:31:00;P+R Pachońskiego;88
2026-04-30 00:31:00;P+R Krowodrza Górka;101
